"","tffam","enzloc","adj.p"
"420","NLP","ICDH_peroxisome",1
"421","PHD","ICDH_peroxisome",1
"422","RAV","ICDH_peroxisome",1
"423","REM","ICDH_peroxisome",1
"424","SBP","ICDH_peroxisome",1
"425","TCP","ICDH_peroxisome",1
"426","Trihelix","ICDH_peroxisome",0.366913969930569
"427","TUB","ICDH_peroxisome",1
"428","VOZ","ICDH_peroxisome",1
"429","Whirly","ICDH_peroxisome",1
"430","WRKY","ICDH_peroxisome",1
"431","ZF-HD","ICDH_peroxisome",1
"432","ZIM","ICDH_peroxisome",1
"433","ABI3VP1","MDH_cytosol",1
"434","Alfin-like","MDH_cytosol",1
"435","AP2-EREBP","MDH_cytosol",0.0094738658675872
"436","ARF","MDH_cytosol",1
"437","ARID","MDH_cytosol",1
"438","ARR-B","MDH_cytosol",1
"439","BBR/BPC","MDH_cytosol",1
"440","bHLH","MDH_cytosol",1
"441","bZIP","MDH_cytosol",1
"442","BZR","MDH_cytosol",1
"443","C2C2-CO-like","MDH_cytosol",1
"444","C2C2-Dof","MDH_cytosol",1
"445","C2C2-Gata","MDH_cytosol",6.19899471684069e-07
"446","C2C2-YABBY","MDH_cytosol",1
"447","C2H2","MDH_cytosol",1
"448","C3H","MDH_cytosol",1
"449","CAMTA","MDH_cytosol",1
"450","CCAAT-DR1","MDH_cytosol",1
"451","CCAAT-HAP2","MDH_cytosol",1
"452","CCAAT-HAP3","MDH_cytosol",1
"453","CCAAT-HAP5","MDH_cytosol",1
"454","CPP","MDH_cytosol",1
"455","E2F-DP","MDH_cytosol",1
"456","EIL","MDH_cytosol",1
"457","G2-like","MDH_cytosol",4.53638073772626e-05
"458","GeBP","MDH_cytosol",0.000423463888419127
"459","GRAS","MDH_cytosol",1
"460","GRF","MDH_cytosol",1
"461","Homeobox","MDH_cytosol",1
"462","HSF","MDH_cytosol",1
"463","LBD","MDH_cytosol",1
"464","MADS","MDH_cytosol",1
"465","MYB","MDH_cytosol",1
"466","MYB-related","MDH_cytosol",1
"467","NAC","MDH_cytosol",1
"468","NLP","MDH_cytosol",1
"469","PHD","MDH_cytosol",1
"470","RAV","MDH_cytosol",1
"471","REM","MDH_cytosol",1
"472","SBP","MDH_cytosol",1
"473","TCP","MDH_cytosol",1
"474","Trihelix","MDH_cytosol",0.0520859376929458
"475","TUB","MDH_cytosol",1
"476","VOZ","MDH_cytosol",1
"477","Whirly","MDH_cytosol",1
"478","WRKY","MDH_cytosol",1
"479","ZF-HD","MDH_cytosol",0.54103476268134
"480","ZIM","MDH_cytosol",1
"481","ABI3VP1","MDH_mitochondrion",1
"482","Alfin-like","MDH_mitochondrion",1
"483","AP2-EREBP","MDH_mitochondrion",1
"484","ARF","MDH_mitochondrion",1
"485","ARID","MDH_mitochondrion",0.277252710465222
"486","ARR-B","MDH_mitochondrion",1
"487","BBR/BPC","MDH_mitochondrion",0.0203167843033857
"488","bHLH","MDH_mitochondrion",1
"489","bZIP","MDH_mitochondrion",1
"490","BZR","MDH_mitochondrion",1
"491","C2C2-CO-like","MDH_mitochondrion",1
"492","C2C2-Dof","MDH_mitochondrion",1
"493","C2C2-Gata","MDH_mitochondrion",1
"494","C2C2-YABBY","MDH_mitochondrion",1
"495","C2H2","MDH_mitochondrion",1
"496","C3H","MDH_mitochondrion",1
"497","CAMTA","MDH_mitochondrion",1
"498","CCAAT-DR1","MDH_mitochondrion",1
"499","CCAAT-HAP2","MDH_mitochondrion",1
"500","CCAAT-HAP3","MDH_mitochondrion",1
"501","CCAAT-HAP5","MDH_mitochondrion",1
"502","CPP","MDH_mitochondrion",1
"503","E2F-DP","MDH_mitochondrion",1
"504","EIL","MDH_mitochondrion",1
"505","G2-like","MDH_mitochondrion",1
"506","GeBP","MDH_mitochondrion",0.000980288826429559
"507","GRAS","MDH_mitochondrion",1
"508","GRF","MDH_mitochondrion",1
"509","Homeobox","MDH_mitochondrion",1
"510","HSF","MDH_mitochondrion",1
"511","LBD","MDH_mitochondrion",0.0531086226045332
"512","MADS","MDH_mitochondrion",1
"513","MYB","MDH_mitochondrion",1
"514","MYB-related","MDH_mitochondrion",1
"515","NAC","MDH_mitochondrion",1
"516","NLP","MDH_mitochondrion",1
"517","PHD","MDH_mitochondrion",1
"518","RAV","MDH_mitochondrion",1
"519","REM","MDH_mitochondrion",1
"520","SBP","MDH_mitochondrion",1
"521","TCP","MDH_mitochondrion",1
"522","Trihelix","MDH_mitochondrion",0.000287369304152518
"523","TUB","MDH_mitochondrion",1
"524","VOZ","MDH_mitochondrion",1
"525","Whirly","MDH_mitochondrion",1
"526","WRKY","MDH_mitochondrion",1
"527","ZF-HD","MDH_mitochondrion",0.0621942940700716
"528","ZIM","MDH_mitochondrion",1
"529","ABI3VP1","MDH_peroxisome",1
"530","Alfin-like","MDH_peroxisome",1
"531","AP2-EREBP","MDH_peroxisome",1
"532","ARF","MDH_peroxisome",1
"533","ARID","MDH_peroxisome",1
"534","ARR-B","MDH_peroxisome",1
"535","BBR/BPC","MDH_peroxisome",1
"536","bHLH","MDH_peroxisome",1
"537","bZIP","MDH_peroxisome",1
"538","BZR","MDH_peroxisome",1
"539","C2C2-CO-like","MDH_peroxisome",1
"540","C2C2-Dof","MDH_peroxisome",1
"541","C2C2-Gata","MDH_peroxisome",1
"542","C2C2-YABBY","MDH_peroxisome",1
"543","C2H2","MDH_peroxisome",1
"544","C3H","MDH_peroxisome",1
"545","CAMTA","MDH_peroxisome",1
"546","CCAAT-DR1","MDH_peroxisome",1
"547","CCAAT-HAP2","MDH_peroxisome",1
"548","CCAAT-HAP3","MDH_peroxisome",1
"549","CCAAT-HAP5","MDH_peroxisome",1
"550","CPP","MDH_peroxisome",1
