"Var1","Var2","Var3","n","e","TF_fam","comploc_n","b","c","d","tfpercentage","pval","adj.p"
"FUM","plastid","ARID",0,"FUM_plastid",6,NA,NA,6,NA,NA,NA,NA
"ICDH","plastid","ARID",0,"ICDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"MDH","plastid","ARID",3,"MDH_plastid",6,96,93,3,863,3.125,0.0154189081538483,0.693850866923172
"OGDH","plastid","ARID",0,"OGDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"PDH","plastid","ARID",5,"PDH_plastid",6,330,325,1,631,1.51515151515152,0.020029225425697,0.801169017027881
"SCL","plastid","ARID",0,"SCL_plastid",6,NA,NA,6,NA,NA,NA,NA
"SDH","plastid","ARID",0,"SDH_plastid",6,NA,NA,6,NA,NA,NA,NA
"ACO","cytosol","ARR-B",0,"ACO_cytosol",6,65,65,6,891,0,1,1
"CSY","cytosol","ARR-B",0,"CSY_cytosol",6,NA,NA,6,NA,NA,NA,NA
"FUM","cytosol","ARR-B",0,"FUM_cytosol",6,39,39,6,917,0,1,1
"ICDH","cytosol","ARR-B",0,"ICDH_cytosol",6,173,173,6,783,0,1,1
"MDH","cytosol","ARR-B",3,"MDH_cytosol",6,215,212,3,744,1.3953488372093,0.129174849918309,1
"OGDH","cytosol","ARR-B",0,"OGDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"PDH","cytosol","ARR-B",0,"PDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"SCL","cytosol","ARR-B",0,"SCL_cytosol",6,NA,NA,6,NA,NA,NA,NA
"SDH","cytosol","ARR-B",0,"SDH_cytosol",6,NA,NA,6,NA,NA,NA,NA
"ACO","mitochondrion","ARR-B",1,"ACO_mitochondrion",6,214,213,5,743,0.467289719626168,0.780004750746161,1
"CSY","mitochondrion","ARR-B",1,"CSY_mitochondrion",6,167,166,5,790,0.598802395209581,0.682514549160108,1
"FUM","mitochondrion","ARR-B",0,"FUM_mitochondrion",6,46,46,6,910,0,1,1
"ICDH","mitochondrion","ARR-B",2,"ICDH_mitochondrion",6,202,200,4,756,0.99009900990099,0.369215719458384,1
"MDH","mitochondrion","ARR-B",0,"MDH_mitochondrion",6,149,149,6,807,0,1,1
"OGDH","mitochondrion","ARR-B",0,"OGDH_mitochondrion",6,148,148,6,808,0,1,1
"PDH","mitochondrion","ARR-B",5,"PDH_mitochondrion",6,471,466,1,490,1.06157112526539,0.0992196331911858,1
"SCL","mitochondrion","ARR-B",0,"SCL_mitochondrion",6,17,17,6,939,0,1,1
"SDH","mitochondrion","ARR-B",3,"SDH_mitochondrion",6,375,372,3,584,0.8,0.434508362617574,1
"ACO","peroxisome","ARR-B",0,"ACO_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"CSY","peroxisome","ARR-B",0,"CSY_peroxisome",6,150,150,6,806,0,1,1
"FUM","peroxisome","ARR-B",0,"FUM_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ICDH","peroxisome","ARR-B",0,"ICDH_peroxisome",6,70,70,6,886,0,1,1
"MDH","peroxisome","ARR-B",0,"MDH_peroxisome",6,143,143,6,813,0,1,1
"OGDH","peroxisome","ARR-B",0,"OGDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"PDH","peroxisome","ARR-B",0,"PDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SCL","peroxisome","ARR-B",0,"SCL_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"SDH","peroxisome","ARR-B",0,"SDH_peroxisome",6,NA,NA,6,NA,NA,NA,NA
"ACO","plastid","ARR-B",0,"ACO_plastid",6,NA,NA,6,NA,NA,NA,NA
"CSY","plastid","ARR-B",0,"CSY_plastid",6,NA,NA,6,NA,NA,NA,NA
"FUM","plastid","ARR-B",0,"FUM_plastid",6,NA,NA,6,NA,NA,NA,NA
