"","tffam","enzloc","pval"
"351","TCP","ICDH_mitochondrion",0.881314414180581
"352","SBP","ICDH_mitochondrion",0.526305222766525
"353","G2-like","ICDH_mitochondrion",0.62946852816123
"354","C3H","ICDH_mitochondrion",0.158755622359823
"355","CPP","ICDH_mitochondrion",1
"356","GRF","ICDH_mitochondrion",0.611105184548868
"357","REM","ICDH_mitochondrion",0.45093363629503
"358","Homeobox","ICDH_mitochondrion",0.96822908662978
"359","PHD","ICDH_mitochondrion",0.20997920997921
"360","C2C2-Dof","ICDH_mitochondrion",0.011691840004721
"361","WRKY","ICDH_mitochondrion",0.00216609229590251
"362","CCAAT-DR1","ICDH_mitochondrion",0.376039771461207
"363","ARF","ICDH_mitochondrion",0.708017467668949
"364","RAV","ICDH_mitochondrion",0.138003627944762
"365","NLP","ICDH_mitochondrion",0.611105184548868
"366","ARR-B","ICDH_mitochondrion",0.369215719458384
"367","ZF-HD","ICDH_mitochondrion",0.954307110511228
"368","Whirly","ICDH_mitochondrion",1
"369","BBR/BPC","ICDH_mitochondrion",0.00195057697697166
"370","MYB-related","ICDH_mitochondrion",0.998776741164872
"371","GRAS","ICDH_mitochondrion",0.231576030531121
"372","BZR","ICDH_mitochondrion",1
"373","Alfin-like","ICDH_mitochondrion",1
"374","HSF","ICDH_mitochondrion",0.110874686072691
"375","CAMTA","ICDH_mitochondrion",1
"376","VOZ","ICDH_mitochondrion",1
"377","CCAAT-HAP3","ICDH_mitochondrion",1
"378","CCAAT-HAP5","ICDH_mitochondrion",0.164920927366769
"379","C2C2-CO-like","ICDH_mitochondrion",1
"380","C2C2-YABBY","ICDH_mitochondrion",0.376039771461207
"381","ABI3VP1","ICDH_mitochondrion",1
"382","CCAAT-HAP2","ICDH_mitochondrion",1
"383","TUB","ICDH_mitochondrion",1
"384","ZIM","ICDH_mitochondrion",0.20997920997921
"385","bHLH","ICDH_peroxisome",0.886860694674785
"386","MYB","ICDH_peroxisome",0.920878245801487
"387","E2F-DP","ICDH_peroxisome",0.140305598161998
"388","AP2-EREBP","ICDH_peroxisome",7.00966292550769e-05
"389","Trihelix","ICDH_peroxisome",0.00815364377623487
"390","ARID","ICDH_peroxisome",0.00630088705071219
"391","C2H2","ICDH_peroxisome",0.414827404896954
"392","GeBP","ICDH_peroxisome",5.42696924995038e-05
"393","NAC","ICDH_peroxisome",0.296715220432928
"394","C2C2-Gata","ICDH_peroxisome",1
"395","bZIP","ICDH_peroxisome",0.0939524042435833
"396","EIL","ICDH_peroxisome",1
"397","LBD","ICDH_peroxisome",0.104322967770334
"398","MADS","ICDH_peroxisome",1
"399","TCP","ICDH_peroxisome",1
"400","SBP","ICDH_peroxisome",1
"401","G2-like","ICDH_peroxisome",0.852454854568013
"402","C3H","ICDH_peroxisome",0.813850251067677
"403","CPP","ICDH_peroxisome",1
"404","GRF","ICDH_peroxisome",0.2611674403912
"405","REM","ICDH_peroxisome",1
"406","Homeobox","ICDH_peroxisome",0.900012205378235
"407","PHD","ICDH_peroxisome",0.0727650727650726
"408","C2C2-Dof","ICDH_peroxisome",1
"409","WRKY","ICDH_peroxisome",0.94659126086394
"410","CCAAT-DR1","ICDH_peroxisome",1
"411","ARF","ICDH_peroxisome",0.187794957499925
"412","RAV","ICDH_peroxisome",1
"413","NLP","ICDH_peroxisome",1
"414","ARR-B","ICDH_peroxisome",1
"415","ZF-HD","ICDH_peroxisome",1
"416","Whirly","ICDH_peroxisome",1
"417","BBR/BPC","ICDH_peroxisome",0.365246411376857
"418","MYB-related","ICDH_peroxisome",1
"419","GRAS","ICDH_peroxisome",1
"420","BZR","ICDH_peroxisome",1
"421","Alfin-like","ICDH_peroxisome",1
"422","HSF","ICDH_peroxisome",1
"423","CAMTA","ICDH_peroxisome",1
"424","VOZ","ICDH_peroxisome",1
"425","CCAAT-HAP3","ICDH_peroxisome",1
"426","CCAAT-HAP5","ICDH_peroxisome",1
"427","C2C2-CO-like","ICDH_peroxisome",1
"428","C2C2-YABBY","ICDH_peroxisome",1
"429","ABI3VP1","ICDH_peroxisome",1
"430","CCAAT-HAP2","ICDH_peroxisome",1
"431","TUB","ICDH_peroxisome",1
"432","ZIM","ICDH_peroxisome",1
"433","bHLH","MDH_cytosol",0.999997128001466
"434","MYB","MDH_cytosol",0.983771825794919
"435","E2F-DP","MDH_cytosol",0.39721703613483
"436","AP2-EREBP","MDH_cytosol",0.000210530352613049
"437","Trihelix","MDH_cytosol",0.00118377131120331
"438","ARID","MDH_cytosol",0.0248922650310932
"439","C2H2","MDH_cytosol",0.989239377549336
"440","GeBP","MDH_cytosol",9.20573670476362e-06
"441","NAC","MDH_cytosol",0.64215041473886
"442","C2C2-Gata","MDH_cytosol",1.29145723267514e-08
"443","bZIP","MDH_cytosol",0.0244355716861357
"444","EIL","MDH_cytosol",0.718535489925236
"445","LBD","MDH_cytosol",0.124331729171064
"446","MADS","MDH_cytosol",1
"447","TCP","MDH_cytosol",0.8984686087086
"448","SBP","MDH_cytosol",0.868929705964822
"449","G2-like","MDH_cytosol",9.65187391005588e-07
"450","C3H","MDH_cytosol",0.0947053618994561
"451","CPP","MDH_cytosol",1
"452","GRF","MDH_cytosol",0.217594731752258
"453","REM","MDH_cytosol",0.190042718503107
